DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
10660.5,2.3935,104.9837,113.2184,0.3772,1.5747,shale,9525.288211408057
10661.0,2.3958,104.9967,114.6936,0.3551,1.5369,shale,9524.108852944903
10661.5,2.3913,105.1367,114.0294,0.3509,1.5143,shale,9511.42655228859
10662.0,2.3913,104.8795,114.4734,0.3769,1.5041,shale,9534.751786574117
10662.5,2.4008,105.7845,112.465,0.3861,1.5485,shale,9453.180758995884
10663.0,2.4104,106.1523,120.592,0.3784,1.5643,shale,9420.427065640593
10663.5,2.4136,106.1719,124.5789,0.3642,1.5329,shale,9418.68799559959
10664.0,2.4123,106.0156,127.4271,0.3639,1.4877,shale,9432.574074004202
10664.5,2.413,105.6185,116.6586,0.3473,1.4489,shale,9468.038269810686
10665.0,2.4138,105.1172,114.0845,0.3853,1.4362,shale,9513.190990627605
10665.5,2.4097,105.0,109.6747,0.3781,1.4473,shale,9523.809523809523
10666.0,2.4013,105.0651,114.2755,0.3731,1.4955,shale,9517.90842058876
10666.5,2.3949,105.179,113.9036,0.3557,1.5804,shale,9507.601327261145
10667.0,2.3931,104.9251,115.5176,0.344,1.6733,shale,9530.608024200119
10667.5,2.3906,104.694,121.3253,0.3674,1.7642,shale,9551.645748562478
10668.0,2.3888,105.4948,119.9602,0.3372,1.9318,shale,9479.14020406693
10668.5,2.3846,107.8646,119.3205,0.332,2.1135,shale,9270.882198608255
10669.0,2.3709,107.9199,110.7851,0.3244,2.2702,shale,9266.13164022576
10669.5,2.341,107.8353,115.3227,0.3288,2.6011,shale,9273.401196083287
10670.0,2.3131,106.7188,114.1767,0.3442,2.9455,shale,9370.420207123769
10670.5,2.3175,104.3034,110.5119,0.3509,2.75,shale,9587.415175344237
10671.0,2.3512,103.4668,109.4178,0.3572,2.4516,shale,9664.935998793815
10671.5,2.3813,104.2415,112.1333,0.3601,2.312,shale,9593.108310989384
10672.0,2.3873,103.4668,123.2524,0.3574,2.1237,shale,9664.935998793815
10672.5,2.3821,104.3652,122.3987,0.363,1.9788,shale,9581.73797396067
10673.0,2.384,104.1211,120.3634,0.365,1.9103,shale,9604.201261799963
10673.5,2.3937,103.9746,116.3389,0.3848,1.8084,shale,9617.733561850684
10674.0,2.4032,103.9909,117.3915,0.3749,1.7307,shale,9616.226035162692
10674.5,2.4077,104.6224,121.6096,0.3826,1.7201,shale,9558.182568933613
10675.0,2.4044,104.1634,118.5798,0.3755,1.7322,shale,9600.301065441412
10675.5,2.3917,105.498,115.4724,0.3912,1.7381,shale,9478.852679671652
10676.0,2.3753,106.1198,113.7939,0.3812,1.8082,shale,9423.312143445428
10676.5,2.3616,105.791,115.3034,0.3502,1.9296,shale,9452.59993761284
10677.0,2.3533,104.9219,116.2549,0.3572,2.1254,shale,9530.89869703084
10677.5,2.3536,104.8568,117.6914,0.3367,2.1489,shale,9536.815924193757
10678.0,2.3647,105.8008,119.1632,0.3417,2.0923,shale,9451.724372594537
10678.5,2.3816,104.7136,114.9747,0.3176,2.0228,shale,9549.857898114476
10679.0,2.3926,104.0983,112.1095,0.3297,1.9464,shale,9606.304809972882
10679.5,2.3947,104.1602,109.6255,0.3373,1.839,shale,9600.59600499999
10680.0,2.3919,104.056,113.6021,0.343,1.7626,shale,9610.209886983932
10680.5,2.3911,102.5488,112.8769,0.3406,1.7811,shale,9751.454917073628
