Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
6509.0,41.2352,1.5008,2.0655,0.5166,0.1677,1.922970520281312,freeman_3
6509.5,39.4304,1.5195,2.0935,0.5166,0.1435,0.6309916487386527,freeman_3
6510.0,37.2217,1.5366,2.1309,0.5166,0.1113,0.1432489511361206,freeman_3
6510.5,37.9958,1.5853,2.1621,0.5166,0.0844,0.0415095594433987,freeman_3
6511.0,41.8891,1.6749,2.1688,0.5166,0.0786,0.0317804720427303,freeman_3
6511.5,45.921,1.7095,2.1424,0.5166,0.1014,0.0908055322239702,freeman_3
6512.0,44.9222,1.5756,2.0984,0.5166,0.1393,0.5200348634281596,freeman_3
6512.5,43.3467,1.4003,2.064,0.5166,0.169,2.0415963827293244,freeman_3
6513.0,42.2299,1.2876,2.0556,0.5166,0.1762,2.8441645465785244,freeman_3
6513.5,39.9206,1.2784,2.0706,0.5166,0.1633,1.5702973450277122,freeman_3
6514.0,37.3798,1.3257,2.0961,0.5166,0.1413,0.5702013567264093,freeman_3
6514.5,34.2513,1.4208,2.1157,0.5166,0.1244,0.2618567970929744,freeman_3
6515.0,34.9724,1.5453,2.121,0.5166,0.1198,0.2118719886024625,freeman_3
6515.5,37.5321,1.7061,2.1185,0.5166,0.122,0.2344600794661928,freeman_3
6516.0,41.3081,1.7993,2.1188,0.5166,0.1217,0.231243503113696,freeman_3
6516.5,42.6186,1.7872,2.119,0.5166,0.1216,0.2301811473903198,freeman_3
6517.0,39.7776,1.7101,2.1141,0.5166,0.1258,0.279293547249717,freeman_3
6517.5,35.6931,1.5531,2.1093,0.5166,0.1299,0.3373279010436764,freeman_3
6518.0,38.0471,1.4552,2.1075,0.5166,0.1315,0.3631189325959159,freeman_3
6518.5,41.6424,1.4375,2.1053,0.5166,0.1334,0.396318997023893,freeman_3
6519.0,44.8518,1.4375,2.1058,0.5166,0.1329,0.3872986146784468,freeman_3
6519.5,41.8174,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6520.0,40.7181,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6520.5,41.1768,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6521.0,41.5077,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6521.5,41.268,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6522.0,39.4051,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6522.5,39.3926,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6523.0,39.4143,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6523.5,42.9849,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6524.0,44.2956,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6524.5,45.7176,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6525.0,44.5066,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6525.5,45.6127,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6526.0,46.354,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6526.5,46.5657,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6527.0,45.4921,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6527.5,43.8562,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6528.0,41.7993,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6528.5,39.7384,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6529.0,39.1768,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6529.5,40.446,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6530.0,41.6531,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6530.5,42.4341,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6531.0,42.1274,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6531.5,40.9845,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6532.0,40.4363,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6532.5,41.7724,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
6533.0,43.3932,1.4375,2.1068,0.5166,0.1321,0.3732910943374472,freeman_3
