DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
6346.5,2.1038,165.4,116.938,0.7041,1.42,0.3308,3512.602491009928
6347.0,2.0993,162.6,115.167,0.5932,1.497,0.3338,4032.9485775564685
6347.5,2.0965,162.3,114.703,0.5092,1.4636,0.3357,4401.682181316533
6348.0,2.095,160.4,113.742,0.4181,1.3657,0.3367,4609.104712130762
6348.5,2.0941,159.7,109.115,0.4426,1.2998,0.3373,4738.22097241571
6349.0,2.0941,160.55,112.352,0.4614,1.268,0.3373,4738.22097241571
6349.5,2.0958,162.7,109.732,0.5193,1.2799,0.3361,4483.506862820511
6350.0,2.0998,162.9,112.382,0.5694,1.3146,0.3335,3977.620237418841
6350.5,2.1044,158.6,112.504,0.7003,1.369,0.3304,3448.4969618179593
6351.0,2.1072,157.35,117.78,0.5959,1.4674,0.3285,3159.6126989595223
6351.5,2.1095,157.9,114.761,0.485,1.5389,0.327,2948.7435971407667
6352.0,2.1113,158.3,108.527,0.4423,1.547,0.3258,2790.227013776915
6352.5,2.1082,158.2,107.272,0.4887,1.487,0.3279,3073.513427099149
6353.0,2.0978,157.7,108.714,0.5334,1.3196,0.3348,4222.995102076375
6353.5,2.0857,157.1,106.665,0.5621,1.2179,0.3429,6132.019292016299
6354.0,2.0789,157.7,105.739,0.5715,1.2323,0.3474,7543.867152278879
6354.5,2.0763,158.05,107.605,0.6388,1.3465,0.3491,8158.126782994504
6355.0,2.0753,158.5,112.084,0.5973,1.4464,0.3498,8425.36987400228
6355.5,2.0773,159.5,114.441,0.5582,1.4739,0.3485,7935.818277907219
6356.0,2.0807,159.6,113.938,0.5038,1.4894,0.3462,7138.328994437837
6356.5,2.0794,159.7,112.043,0.4768,1.4988,0.3471,7440.37224285274
6357.0,2.0723,159.4,107.847,0.4912,1.5017,0.3518,9238.144730159227
6357.5,2.0679,159.35,111.348,0.5199,1.452,0.3547,10557.92693318228
6358.0,2.073,158.85,113.099,0.5043,1.3879,0.3513,9027.880780526802
6358.5,2.0837,158.8,118.603,0.4647,1.3609,0.3442,6510.296581965007
6359.0,2.0941,159.1,114.06,0.4796,1.4138,0.3373,4738.22097241571
6359.5,2.0995,159.0,116.336,0.4301,1.4887,0.3337,4014.4208094429537
6360.0,2.0944,159.1,109.015,0.4699,1.5282,0.3371,4694.785256421168
6360.5,2.0804,158.9,114.276,0.464,1.4765,0.3464,7204.372149543601
6361.0,2.0683,159.2,115.994,0.5532,1.3634,0.3545,10461.14142688557
6361.5,2.0676,158.7,116.5,0.5266,1.2787,0.3549,10655.607889970177
6362.0,2.075,158.4,114.264,0.6016,1.2591,0.35,8503.320611471194
6362.5,2.0835,158.6,111.747,0.6255,1.3045,0.3443,6540.343572837806
6363.0,2.0912,158.1,114.683,0.5689,1.385,0.3392,5171.4378262812015
6363.5,2.0969,157.6,111.705,0.5984,1.461,0.3354,4341.295155739023
6364.0,2.0989,156.4,113.968,0.5896,1.5395,0.3341,4089.0465299345306
6364.5,2.0986,156.5,112.072,0.7608,1.5702,0.3343,4126.878007640512
6365.0,2.0997,157.3,113.289,0.6304,1.5618,0.3335,3977.620237418841
6365.5,2.1029,158.15,110.639,0.5194,1.5504,0.3314,3611.0020991405845
6366.0,2.1059,159.1,110.956,0.459,1.5832,0.3294,3293.3050076315285
6366.5,2.1087,158.15,112.324,0.4482,1.6161,0.3275,3017.421340042015
6367.0,2.1109,157.15,113.823,0.4922,1.5957,0.3261,2829.0388208537192
6367.5,2.1109,156.9,111.285,0.497,1.5439,0.3261,2829.0388208537192
6368.0,2.1079,156.5,111.358,0.4668,1.5142,0.3281,3101.9492871083644
6368.5,2.1033,157.3,108.859,0.4659,1.4866,0.3311,3561.4624760740244
6369.0,2.0998,158.85,111.965,0.4771,1.4299,0.3335,3977.620237418841
6369.5,2.0984,159.0,110.613,0.4533,1.3661,0.3344,4145.924799790079
6370.0,2.0984,159.25,109.879,0.4105,1.3202,0.3344,4145.924799790079
6370.5,2.0996,158.7,112.987,0.3641,1.335,0.3336,3995.978159744572
6371.0,2.1011,158.2,108.275,0.3991,1.3956,0.3326,3816.1480290054883
6371.5,2.0989,157.35,111.51,0.4882,1.4416,0.3341,4089.0465299345306
