Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code
9453.5,123.0374,1.3347,110.4948,2.3895,0.3896,0.1681,1.9587174106477812,3.0,749232.037161909,2
9454.0,114.415,1.3218,110.1042,2.3857,0.3913,0.1705,2.187594019119273,3.0,756544.1065214102,2
9454.5,116.8057,1.3068,110.0553,2.3856,0.3576,0.1706,2.1976904281996124,3.0,765228.0379553107,2
9455.0,114.4855,1.3217,109.8633,2.3832,0.3647,0.1721,2.3548505851964725,3.0,756601.3467503971,2
9455.5,121.0006,1.3709,109.9837,2.3777,0.3698,0.1757,2.779430199105511,3.0,729447.8080093369,2
9456.0,116.2929,1.4083,110.2278,2.3758,0.3987,0.1769,2.9373334007751555,3.0,710075.9781296598,2
9456.5,111.4531,1.414,110.918,2.3763,0.3962,0.1766,2.8970358918011585,3.0,707213.5785007073,2
9457.0,109.0041,1.3671,111.1979,2.3811,0.4061,0.1735,2.511657442098302,3.0,731475.385853266,2
9457.5,111.8348,1.3282,111.276,2.3919,0.395,0.1665,1.819596758968204,3.0,752898.6598403854,2
9458.0,118.3361,1.3129,111.0417,2.4037,0.3894,0.1589,1.2823045001440594,3.0,761672.6331022927,2
