DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
8414.0,2.2072,115.2921,37.5405,0.4574,488.0163,
8414.5,2.2074,115.3108,36.6584,0.4462,364.2613,
8415.0,2.2075,115.3296,38.0317,0.4139,338.2477,
8415.5,2.2076,115.3484,35.0074,0.4157,401.7077,
8416.0,2.2078,115.3672,36.06,0.4692,599.6727,
8416.5,2.2079,115.386,36.6652,0.5158,1008.291,
8417.0,2.208,115.4048,40.8755,0.5222,1542.767,
8417.5,2.2082,115.4236,41.9805,0.5078,1882.328,
8418.0,2.2083,115.4424,42.5565,0.4751,1950.0,
8418.5,2.2085,115.4612,41.348,0.4639,1950.0,
8419.0,2.2086,115.48,42.0922,0.4287,1950.0,
8419.5,2.2087,115.4987,41.7414,0.4461,1950.0,
8420.0,2.2089,115.5175,41.1768,0.4397,1950.0,
8420.5,2.209,115.5363,38.2893,0.4481,1950.0,
8421.0,2.2092,115.5551,36.3222,0.4326,1950.0,
8421.5,2.2093,115.5739,34.7425,0.4135,1950.0,
8422.0,2.2094,115.5927,37.438,0.4281,1950.0,
8422.5,2.2096,115.6115,40.0871,0.4259,1950.0,
8423.0,2.2097,115.6303,41.4004,0.438,1950.0,
8423.5,2.2099,115.6491,39.0342,0.4034,1950.0,
8424.0,2.21,115.6679,39.3365,0.4087,1950.0,
8424.5,2.2101,115.6867,37.4794,0.408,1950.0,
8425.0,2.2103,115.7054,38.0228,0.4342,1950.0,
8425.5,2.2104,115.7242,35.1317,0.4259,1950.0,
8426.0,2.2105,115.743,32.5939,0.4285,1950.0,
8426.5,2.2107,115.7618,34.0896,0.4042,634.8501,
8427.0,2.2108,115.7806,36.716,0.4137,151.6606,
8427.5,2.211,115.7994,38.5539,0.4208,61.8163,
8428.0,2.2111,115.8182,37.5037,0.4343,33.0621,
8428.5,2.2112,115.837,37.1173,0.4383,22.1215,
8429.0,2.2114,115.8558,39.2695,0.4619,21.1967,
8429.5,2.2115,115.8746,40.4548,0.4655,28.9022,
8430.0,2.2117,115.8933,41.0011,0.4757,54.418,
8430.5,2.2118,115.9121,37.2304,0.4584,117.8545,
8431.0,2.2119,115.9309,36.5791,0.4445,141.6602,
8431.5,2.2121,115.9497,35.8068,0.4154,42.8748,
8432.0,2.2122,115.9685,42.915,0.398,12.6467,
8432.5,2.2124,115.9873,52.3278,0.4226,3.982,
8433.0,2.2125,116.0061,62.7401,0.4276,1.9571,
8433.5,2.2126,116.0249,67.4532,0.4138,1.5008,
8434.0,2.2128,116.0437,69.2482,0.4119,1.482,
8434.5,2.2129,116.0625,66.4988,0.4322,1.5642,
8435.0,2.213,116.0813,69.7717,0.4574,1.6921,
8435.5,2.2132,116.1,68.3748,0.4511,1.8873,
8436.0,2.2133,116.1188,70.7982,0.426,1.9717,
8436.5,2.2135,116.1376,67.7143,0.4289,1.9574,
8437.0,2.2136,116.1564,65.9537,0.4526,1.8799,
8437.5,2.2137,116.1752,63.9159,0.4616,1.8101,
8438.0,2.2139,116.194,62.3112,0.4435,1.7723,
8438.5,2.214,116.2128,59.8483,0.4109,1.7921,
8439.0,2.2142,116.2316,58.9843,0.4067,1.8438,
8439.5,2.2143,116.2504,56.769,0.4149,1.8955,
8440.0,2.2144,116.2692,61.2802,0.3992,1.9632,
8440.5,2.2146,116.2879,61.7455,0.3923,2.0062,
8441.0,2.2147,116.3067,62.9469,0.3855,2.0733,
8441.5,2.2149,116.3255,60.6221,0.4014,2.1011,
8442.0,2.215,116.3443,59.5203,0.3955,2.0813,
8442.5,2.2151,116.3631,58.6882,0.4128,2.0609,
8443.0,2.2153,116.3819,57.0026,0.4456,2.0053,
8443.5,2.2154,116.4007,58.9504,0.4607,1.9174,
8444.0,2.2155,116.4195,56.4512,0.4391,1.8417,
8444.5,2.2157,116.4383,58.4208,0.4113,2.0068,
8445.0,2.2158,116.4571,57.7803,0.4247,1.8213,
8445.5,2.216,116.4759,60.431,0.4436,1.5825,
8446.0,2.2161,116.4946,58.4417,0.4443,1.5264,
8446.5,2.2162,116.5134,60.056,0.4441,1.5526,
8447.0,2.2164,116.5322,62.186,0.4264,1.5337,
8447.5,2.2165,116.551,66.4248,0.4402,1.4854,
8448.0,2.2167,116.5698,68.1192,0.436,1.4496,
8448.5,2.2168,116.5886,71.9383,0.5183,1.4266,
8449.0,2.2169,116.6074,70.7535,0.5159,1.418,
8449.5,2.2171,116.6262,71.128,0.5431,1.4013,
8450.0,2.2172,116.645,73.7583,0.4787,1.3861,
8452.5,2.2179,116.7389,71.77,0.479,1.4387,
8453.0,2.218,116.7577,63.4456,0.4666,1.5395,
8453.5,2.2182,116.7765,61.644,0.4511,1.6011,
8454.0,2.2183,116.7953,59.7209,0.4162,1.6844,
8454.5,2.2185,116.8141,56.662,0.3924,1.7686,
8455.0,2.2186,116.8329,53.9545,0.3974,1.7334,
8455.5,2.2187,116.8517,53.4783,0.4162,1.6207,
8456.0,2.2189,116.8704,56.1011,0.4417,1.5386,
8456.5,2.219,116.8892,57.2357,0.4439,1.4885,
8457.0,2.2192,116.908,55.2079,0.4601,1.5233,
8457.5,2.2193,116.9268,57.4379,0.4611,1.5803,
8458.0,2.2194,116.9456,56.9578,0.4196,1.5979,
8458.5,2.2196,116.9644,61.1192,0.4092,1.6073,
8459.0,2.2197,116.9832,61.4753,0.3997,1.6309,
8459.5,2.2199,117.002,64.1045,0.4187,1.6353,
8460.0,2.22,117.0208,63.7201,0.4084,1.634,
8460.5,2.2201,117.0396,61.4091,0.4215,1.6349,
8461.0,2.2203,117.0583,58.9847,0.466,1.6513,
8461.5,2.2204,117.0771,57.8571,0.4703,1.6458,
8462.0,2.2205,117.0959,58.3607,0.4379,1.653,
8462.5,2.2207,117.1147,62.6,0.3876,1.6663,
8463.0,2.2208,117.1335,69.4194,0.409,1.6525,
8463.5,2.221,117.1523,72.5481,0.4344,1.6348,
8464.0,2.2501,117.1711,71.9584,0.4379,1.6595,
8464.5,2.246,117.1899,68.3593,0.4015,1.8045,
8465.0,2.246,117.2087,66.9109,0.3783,1.8348,
8465.5,2.2539,117.2275,64.3889,0.3596,1.7782,
8466.0,2.2614,117.2463,62.4613,0.3469,1.7389,
8466.5,2.2664,117.265,65.8467,0.3358,1.7131,
8467.0,2.2753,117.2838,74.0486,0.328,1.6561,
8473.0,2.3379,117.5093,63.4128,0.3556,1.718,
8473.5,2.3105,117.5281,56.4497,0.3498,2.0421,
8474.0,2.2573,117.5469,46.2571,0.3272,2.2855,
8474.5,2.2017,117.5657,43.8691,0.3477,1.9862,
8475.0,2.1721,117.5845,40.1235,0.3538,1.7541,
8475.5,2.1747,117.6033,42.4443,0.3564,1.7157,
8476.0,2.1984,117.6221,49.6007,0.3384,1.6808,
8476.5,2.2282,117.6409,60.3158,0.3417,1.5804,
8477.0,2.2542,117.6596,68.5062,0.359,1.4985,
8477.5,2.2687,117.6784,74.4193,0.3876,1.4862,
8490.0,2.1598,124.1992,74.8905,0.3535,1.7092,
8490.5,2.1342,122.9655,71.9641,0.3578,1.7547,
8491.0,2.1218,122.1093,70.9871,0.3647,1.8023,
8491.5,2.1254,122.3795,72.1541,0.3581,1.7322,
8492.0,2.1406,122.806,73.3004,0.3226,1.5969,
8492.5,2.1611,124.5638,70.017,0.3093,1.4471,
8493.0,2.1653,129.2513,62.4359,0.3316,1.6059,
8493.5,2.1335,132.5651,52.9268,0.3488,1.8674,
8494.0,2.0782,133.5872,44.2156,0.3633,1.8863,
8494.5,2.0347,132.8939,38.9264,0.3943,1.7417,
8495.0,2.0291,129.834,34.4254,0.4129,1.6741,
8495.5,2.0489,128.5059,34.1721,0.4242,1.6754,
8496.0,2.0708,128.9843,35.1677,0.4001,1.6329,
8496.5,2.0882,127.7832,36.8139,0.3761,1.5885,
8497.0,2.1,127.2852,40.1893,0.3735,1.6086,
8497.5,2.1031,126.6081,42.3166,0.3689,1.6555,
8498.0,2.1048,126.8945,52.4745,0.371,1.6084,
8498.5,2.1087,126.8685,57.1174,0.3652,1.5206,
8499.0,2.1183,126.3802,70.6119,0.4049,1.4601,
8504.0,2.3094,124.987,74.3832,0.3857,1.1583,
8504.5,2.2672,127.3665,57.3137,0.3357,1.4655,
8505.0,2.2018,127.7799,43.3059,0.3026,1.6645,
8505.5,2.1407,126.9955,37.8815,0.3042,1.5149,
8506.0,2.1095,126.3412,39.5392,0.3007,1.3499,
8506.5,2.1169,123.7793,41.5114,0.2896,1.238,
8507.0,2.1406,124.5898,46.5142,0.2554,1.2351,
8507.5,2.1546,125.1953,55.6115,0.2829,1.1962,
8696.0,2.1581,128.6238,74.3381,0.339,2.8759,
8696.5,2.1514,128.0507,68.6891,0.3491,2.9349,
8697.0,2.1412,127.4776,59.1071,0.2923,4.7739,
8697.5,2.1084,127.9785,53.5838,0.2715,8.8779,
8698.0,2.0633,129.1471,49.6652,0.2432,11.879,
8698.5,2.0351,129.7917,46.4224,0.2457,13.0306,
8699.0,2.028,129.4835,47.241,0.2575,14.7795,
8699.5,2.0247,129.0823,45.5554,0.2746,15.7149,
8700.0,2.0121,128.6812,45.338,0.2961,14.0742,
8700.5,2.0092,128.28,43.1913,0.3035,9.6662,
8701.0,2.0416,127.8788,51.801,0.2968,5.3425,
8701.5,2.1014,127.4776,57.8921,0.317,3.2206,
8702.0,2.1431,126.6732,65.6513,0.3302,2.9427,
8702.5,2.1325,127.793,65.1244,0.3231,3.965,
8703.0,2.0991,128.942,68.2501,0.3285,4.2172,
