Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
6997.0,71.6386,0.8892,155.5,2.0408,0.6071,0.393,11816.572503577305,6430.868167202572,0.4742,0.19705753437622833,0.36659429039358543,4.617933835697446,0.04805171087327405,4406.699517171342,0
6997.5,73.7902,0.9207,155.1,2.0312,0.7013,0.3992,12809.50291955411,6447.453255963895,0.4993,0.21567846910983013,0.3702990851392828,4.465108786584868,0.04724991421465688,4537.1162678055225,0
6998.0,80.8471,0.9334,155.9,2.0259,0.6076,0.4026,13389.000994156577,6414.368184733804,0.5816,0.2858676429810266,0.3642937358405424,4.384429415550933,0.04682109255213367,4609.5017665417345,2
6998.5,82.5693,0.8849,155.2,2.0291,0.5741,0.4006,13045.01867322273,6443.298969072165,0.6017,0.3053811661592772,0.3596789237346569,4.43162657308785,0.047072425968330174,4566.847717646985,2
6999.0,82.2309,0.8318,155.7,2.0371,0.5896,0.3954,12191.459112765302,6422.607578676943,0.5977,0.30141729417483404,0.3550100825805722,4.557879715792095,0.04773824313792923,4456.941272571708,2
6999.5,77.551,0.8453,155.1,2.0447,0.5684,0.3905,11438.318575061005,6447.453255963895,0.5432,0.2512721685932562,0.35682952940850365,4.68173100738981,0.048382491706142054,4354.689608877732,1
7000.0,76.2789,0.8719,156.6,2.0508,0.5577,0.3866,10872.274885225488,6385.6960408684545,0.5283,0.23873953899413106,0.35460890177478643,4.783862766497092,0.04890737555061144,4274.216872428287,1
7000.5,75.7089,0.8706,156.9,2.0552,0.4841,0.3837,10469.607356729042,6373.486297004461,0.5217,0.2333393971907613,0.35243252077643794,4.861936934828017,0.04930485237189144,4214.901762395558,0
7001.0,79.6144,0.851,156.1,2.0544,0.5674,0.3843,10551.675705924135,6406.149903907752,0.5672,0.2724935148730215,0.3477858690070151,4.845631265883155,0.049222105125051055,4227.1372133582245,1
7001.5,81.2834,0.8521,157.1,2.0489,0.6202,0.3878,11043.392435006706,6365.372374283896,0.5867,0.2907240070322109,0.3488429830576837,4.752092758851714,0.04874470616821746,4298.891688217182,2
7002.0,83.171,0.858,157.1,2.0444,0.7649,0.3907,11468.128089984486,6365.372374283896,0.6087,0.3124165461143741,0.34883618282067386,4.676579863820768,0.048355867605807505,4358.838187940056,2
7002.5,78.6119,0.8746,157.1,2.0442,0.8838,0.3908,11483.061967381454,6365.372374283896,0.5555,0.26198490600374325,0.35569402259549837,4.674007405441825,0.0483425661577963,4360.91327401034,1
7003.0,79.8691,0.8946,157.4,2.0437,0.6545,0.3912,11542.992200380631,6353.240152477763,0.5702,0.27523920745244324,0.3543179462013726,4.6637382766061695,0.048289430917159135,4369.218928552474,1
7003.5,80.7407,0.9018,156.6,2.0391,0.5569,0.3941,11986.94276914708,6385.6960408684545,0.5804,0.2847341707713796,0.35594562111663514,4.5902660154853585,0.047907546459223724,4429.689020012773,2
7004.0,78.6324,0.888,156.3,2.0351,0.5612,0.3967,12399.46483108171,6397.952655150351,0.5558,0.2622504372392053,0.3615584414099465,4.525827098736226,0.04757009091191768,4484.283268598562,1
7004.5,79.5586,0.8257,156.8,2.0389,0.6912,0.3943,12018.18205899718,6377.551020408163,0.5666,0.27194690683034134,0.35785911448473423,4.585261605832162,0.0478814244035835,4433.875832962449,1
7005.0,75.5914,0.8238,155.5,2.0488,0.7272,0.3879,11057.7732186339,6430.868167202572,0.5203,0.23220561646665328,0.3567844473934685,4.749459223161191,0.04873119751843367,4300.951374534156,0
7005.5,79.1885,0.8793,154.9,2.0548,0.6272,0.384,10510.561431082664,6455.777921239509,0.5623,0.2680540669238049,0.34808075503221014,4.853774068549978,0.049263445213210466,4221.017098261886,1
7006.0,80.6788,0.9134,154.5,2.0533,0.6001,0.385,10648.23554049147,6472.491909385113,0.5796,0.28398045828278323,0.34694661859010706,4.82670905396564,0.04912590484645367,4241.436067812071,2
7006.5,82.0402,0.8907,154.5,2.0528,0.6111,0.3853,10689.888356609705,6472.491909385113,0.5955,0.29925443537728846,0.3451999056594433,4.818632662601553,0.049084787167724145,4247.572113676693,2
7007.0,81.5529,0.877,155.0,2.0601,0.7141,0.3806,10055.646974435627,6451.612903225807,0.5898,0.29370710438313813,0.3412432480126595,4.947477228790849,0.04973669283733514,4151.989808859109,2
7007.5,77.3109,0.8888,154.2,2.0695,0.6616,0.3745,9288.261598241668,6485.08430609598,0.5403,0.24879525203219366,0.341161436227686,5.122362059998956,0.05060811229436915,4029.685376334853,1
7008.0,76.8758,0.9007,154.9,2.0734,0.5935,0.372,8990.940066337354,6455.777921239509,0.5353,0.24456773073109372,0.33922792408203345,5.196660782898787,0.050973820647950197,3980.1314606325286,1
7008.5,80.5984,0.9168,154.6,2.0738,0.5868,0.3717,8955.907149171122,6468.30530401035,0.5787,0.2831343781160969,0.333759993332443,5.20568257952435,0.05101804866674318,3974.2072937815274,2
7009.0,82.0061,0.9444,155.1,2.0756,0.5918,0.3706,8828.616954431072,6447.453255963895,0.5951,0.29886249774328094,0.33055242530240037,5.238959574262783,0.05118085371632044,3952.5262375466073,2
7009.5,89.2426,0.9443,154.4,2.0787,0.5875,0.3686,8601.797331970338,6476.683937823834,0.6795,0.3911466167013027,0.31618635336202544,5.300266761297819,0.05147944619601992,3913.270752860179,2
7010.0,88.441,0.9088,154.4,2.081,0.5136,0.3671,8435.515045148679,6476.683937823834,0.6702,0.37997145379649666,0.3161838251912694,5.3469394098557075,0.05170560612668469,3883.9685332092818,2
7010.5,89.8596,0.8883,153.0,2.0835,0.3858,0.3655,8261.688749993336,6535.9477124183,0.6867,0.3999832783652637,0.31190224069905464,5.397390244052518,0.05194896651547804,3852.8445262217124,2
