DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
2543.708	12.713	115.135	1.253	1.308	2.247	0.455	325.094
2543.861	12.615	112.219	1.231	1.284	2.233	0.435	330.566
2544.013	12.61	113.288	1.195	1.245	2.19	0.401	341.755
2544.166	12.63	114.108	1.169	1.219	2.133	0.448	353.53
2544.318	12.738	114.031	1.146	1.193	2.085	0.48	359.128
2544.47	12.798	121.895	1.157	1.202	2.072	0.547	356.693
2544.623	12.73	121.92	1.193	1.237	2.114	0.54	350.508
2544.775	12.591	121.184	1.23	1.275	2.183	0.643	347.338
2544.927	12.53	113.758	1.235	1.282	2.232	0.593	348.294
2545.08	12.544	112.35	1.232	1.281	2.248	0.571	347.857
2545.232	12.515	114.806	1.221	1.272	2.252	0.574	342.527
2545.385	12.569	117.583	1.216	1.269	2.252	0.682	333.986
2545.537	12.657	117.84	1.237	1.29	2.246	0.666	326.154
2545.69	12.646	119.129	1.263	1.314	2.246	0.543	317.317
2545.842	12.611	124.173	1.318	1.372	2.256	0.542	305.385
2545.994	12.603	126.189	1.374	1.436	2.267	0.448	294.287
2546.147	12.645	122.845	1.395	1.463	2.27	0.392	285.3
2546.299	12.622	117.047	1.378	1.446	2.272	0.382	279.83
2546.452	12.56	117.897	1.364	1.438	2.277	0.47	279.891
2546.604	12.549	126.549	1.344	1.423	2.28	0.543	281.833
2546.756	12.507	130.501	1.313	1.385	2.279	0.517	283.485
2546.909	12.586	134.805	1.301	1.361	2.275	0.44	286.292
2547.061	12.712	131.749	1.387	1.454	2.273	0.395	289.331
2547.214	12.765	129.54	1.515	1.597	2.276	0.401	291.397
2547.366	12.861	122.369	1.6	1.694	2.283	0.497	292.917
2547.518	12.992	112.938	1.526	1.612	2.276	0.759	295.11
2547.671	13.074	109.582	1.395	1.46	2.243	0.788	299.639
2547.823	13.106	108.243	1.297	1.353	2.207	0.719	307.17
2547.976	13.108	107.896	1.259	1.307	2.201	0.526	316.23
2548.128	13.113	109.48	1.249	1.291	2.225	0.396	323.526
2548.281	13.132	108.968	1.226	1.263	2.24	0.359	328.502
2548.433	13.191	113.045	1.212	1.243	2.218	0.444	332.073
2548.585	13.184	116.536	1.203	1.235	2.176	0.507	332.339
2548.738	12.99	110.919	1.185	1.213	2.161	0.533	330.171
2548.89	12.914	105.831	1.178	1.199	2.191	0.465	329.877
2549.042	12.8	99.266	1.2	1.219	2.231	0.471	332.164
2549.195	12.578	99.084	1.221	1.238	2.236	0.555	334.741
2549.347	12.509	101.808	1.189	1.207	2.208	0.616	338.377
2549.5	12.414	104.018	1.153	1.173	2.196	0.555	343.094
2549.652	12.387	105.788	1.165	1.185	2.226	0.475	342.768
2549.804	12.475	108.039	1.232	1.261	2.274	0.447	335.912
2549.957	12.46	108.699	1.302	1.348	2.302	0.48	323.862
2550.109	12.599	113.346	1.339	1.397	2.296	0.471	307.099
2550.262	12.887	121.198	1.332	1.4	2.27	0.493	295.166
2550.414	12.925	131.442	1.334	1.404	2.246	0.479	292.17
2550.566	12.807	134.007	1.357	1.431	2.237	0.478	292.259
2550.719	12.825	135.862	1.374	1.447	2.243	0.453	293.907
2550.871	12.798	135.741	1.383	1.461	2.247	0.41	297.315
2551.024	12.715	126.029	1.394	1.472	2.237	0.39	300.004
2551.176	12.691	120.685	1.393	1.458	2.227	0.396	300.448
2551.328	12.655	119.049	1.388	1.439	2.223	0.404	301.748
2551.481	12.764	122.957	1.365	1.408	2.204	0.43	305.902
2551.633	12.859	120.765	1.322	1.363	2.164	0.492	309.846
2551.786	12.798	116.669	1.308	1.348	2.15	0.58	311.701
2551.938	12.873	111.195	1.325	1.358	2.19	0.888	312.781
2552.09	12.929	107.629	1.328	1.354	2.237	0.913	316.111
2552.243	12.904	111.887	1.308	1.332	2.251	0.627	320.727
2552.395	12.816	113.133	1.286	1.309	2.242	0.549	323.084
2552.548	12.958	119.945	1.257	1.275	2.237	0.465	323.584
2552.7	13.054	119.008	1.239	1.257	2.232	0.476	322.77
2552.852	13.21	121.874	1.258	1.288	2.218	0.468	320.78
2553.005	13.129	121.797	1.301	1.347	2.211	0.597	317.851
2553.157	13.02	126.637	1.355	1.417	2.219	0.663	314.315
2553.31	12.869	125.174	1.387	1.465	2.237	0.599	310.225
2553.462	12.911	124.327	1.396	1.487	2.255	0.493	305.621
2553.615	12.845	119.709	1.42	1.518	2.265	0.415	301.309
2553.767	12.689	115.347	1.47	1.576	2.272	0.395	295.782
2553.919	12.633	113.29	1.534	1.648	2.279	0.423	289.645
2554.072	12.721	120.37	1.564	1.688	2.28	0.469	287.465
2554.224	12.781	126.35	1.573	1.706	2.273	0.655	288.84
2554.376	12.812	120.756	1.571	1.713	2.265	0.668	290.211
2554.529	12.844	110.025	1.528	1.67	2.257	0.719	289.67
2554.681	12.882	108.519	1.485	1.626	2.25	0.55	284.271
2554.833	12.966	112.064	1.501	1.654	2.246	0.453	274.645
2554.986	13.021	119.064	1.563	1.733	2.241	0.397	267.577
2555.138	13.021	120.554	1.609	1.791	2.23	0.372	267.197
2555.291	13.041	118.784	1.623	1.817	2.219	0.386	273.568
2555.443	13.063	112.949	1.611	1.8	2.211	0.497	285.81
2555.596	13.097	108.609	1.489	1.638	2.191	0.697	300.104
