DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
2100.682,12.216,80.266,1.384,1.332,2.134,0.38,6892.0,0.2324
2100.834,12.196,77.926,1.411,1.369,2.148,0.353,6892.5,0.2324
2100.986,12.191,75.598,1.337,1.304,2.137,0.371,6893.0,0.2324
2101.139,12.186,76.277,1.215,1.195,2.107,0.349,6893.5,0.2324
2101.291,12.168,67.578,1.101,1.094,2.078,0.322,6894.0,688.068
2101.444,12.168,64.589,0.993,0.974,2.067,0.299,6894.5,807.993
2101.596,12.176,63.415,1.0,0.983,2.07,0.331,6895.0,769.537
2101.748,12.181,71.3,1.046,1.047,2.077,0.38,6895.5,0.2324
2101.901,12.181,75.08,1.094,1.101,2.079,0.398,6896.0,0.2324
2102.053,12.174,78.134,1.059,1.074,2.079,0.398,6896.5,0.2324
2102.206,12.168,78.012,1.015,1.037,2.076,0.36,6897.0,0.2324
2102.358,12.169,81.949,1.013,1.041,2.073,0.356,6897.5,0.2324
2102.51,12.17,80.658,1.049,1.094,2.073,0.371,6898.0,0.2324
2102.663,12.17,79.159,1.083,1.135,2.077,0.369,6898.5,0.2324
2102.815,12.171,75.717,1.096,1.154,2.078,0.365,6899.0,0.2324
2102.968,12.173,73.195,1.054,1.118,2.07,0.338,6899.5,0.2324
2103.12,12.172,67.701,1.021,1.088,2.061,0.304,6900.0,880.079
2103.272,12.189,63.973,0.912,0.959,2.062,0.296,6900.5,859.348
2103.425,12.197,64.202,0.884,0.925,2.078,0.291,6901.0,697.513
2103.577,12.195,70.116,0.924,0.981,2.092,0.331,6901.5,0.2324
2103.729,12.194,74.155,0.979,1.043,2.09,0.345,6902.0,0.2324
2103.882,12.187,74.613,0.952,1.008,2.069,0.34,6902.5,786.141
2104.034,12.177,70.707,0.898,0.954,2.047,0.333,6903.0,1069.55
2104.187,12.179,67.057,0.866,0.909,2.041,0.343,6903.5,1069.55
2104.339,12.184,65.73,0.899,0.944,2.049,0.381,6904.0,1034.3
2104.492,12.188,64.97,0.912,0.975,2.057,0.377,6904.5,934.32
2104.644,12.195,69.773,0.906,0.972,2.058,0.39,6905.0,0.2324
2104.796,12.218,76.471,0.909,0.955,2.066,0.394,6905.5,0.2324
2104.949,12.239,80.428,1.002,1.055,2.081,0.421,6906.0,0.2324
2105.101,12.229,76.746,1.066,1.134,2.089,0.384,6906.5,0.2324
2105.254,12.19,76.942,0.993,1.043,2.084,0.365,6907.0,0.2324
2105.406,12.174,76.373,0.955,1.008,2.079,0.334,6907.5,686.773
2105.558,12.182,76.225,0.987,1.054,2.079,0.315,6908.0,683.105
2105.711,12.185,72.007,0.963,1.012,2.078,0.337,6908.5,693.524
2105.863,12.181,74.076,0.909,0.944,2.073,0.382,6909.0,0.2324
2106.016,12.179,84.074,0.901,0.945,2.073,0.403,6909.5,0.2324
2106.168,12.18,86.891,0.967,1.019,2.079,0.399,6910.0,0.2324
2106.32,12.178,82.957,1.031,1.089,2.085,0.408,6910.5,0.2324
2106.473,12.163,73.392,1.038,1.092,2.083,0.402,6911.0,0.2324
2106.625,12.142,66.042,1.01,1.069,2.076,0.398,6911.5,714.182
2106.778,12.13,62.149,0.934,1.001,2.072,0.356,6912.0,756.736
2106.93,12.146,66.195,0.877,0.939,2.079,0.355,6912.5,680.221
2107.083,12.181,74.203,0.882,0.957,2.094,0.353,6913.0,553.929
2107.235,12.21,74.895,0.964,1.073,2.103,0.371,6913.5,0.2324
2107.387,12.206,69.715,0.998,1.133,2.101,0.39,6914.0,117.733
2107.54,12.194,53.418,0.919,1.041,2.09,0.422,6914.5,117.733
2107.692,12.188,44.616,0.85,0.962,2.079,0.412,6915.0,117.733
2107.844,12.184,38.128,0.829,0.942,2.077,0.386,6915.5,2556.45
2107.997,12.182,37.543,0.834,0.946,2.08,0.336,6916.0,2505.97
2108.149,12.176,40.694,0.839,0.955,2.084,0.309,6916.5,2462.3701
2108.302,12.178,42.58,0.828,0.949,2.083,0.307,6917.0,2472.2
2108.454,12.193,39.303,0.814,0.926,2.082,0.304,6917.5,2488.9299
2108.606,12.201,40.02,0.798,0.901,2.084,0.317,6918.0,2453.8401
2108.759,12.203,44.314,0.784,0.881,2.093,0.324,6918.5,2343.3
2108.911,12.201,56.121,0.762,0.853,2.105,0.34,6919.0,2199.5901
2109.064,12.2,61.438,0.782,0.869,2.113,0.387,6919.5,117.733
2109.216,12.215,66.301,0.827,0.926,2.111,0.414,6920.0,0.2324
2109.368,12.234,67.824,0.873,0.978,2.103,0.42,6920.5,0.2324
2109.521,12.235,66.643,0.886,0.975,2.093,0.357,6921.0,557.07
2109.673,12.239,66.067,0.841,0.896,2.092,0.347,6921.5,570.815
2109.826,12.252,67.261,0.858,0.889,2.103,0.366,6922.0,487.585
2109.978,12.344,74.59,1.002,1.031,2.121,0.424,6922.5,0.2324
2110.13,12.444,83.672,1.288,1.313,2.13,0.464,6923.0,0.2324
2110.283,12.533,90.371,1.472,1.472,2.124,0.484,6923.5,0.2324
2147.926,12.183,96.05,1.761,1.579,2.174,0.486,7047.0,0.2324
2148.078,12.353,87.878,1.859,1.667,2.174,0.483,7047.5,0.2324
