Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
8735.0,48.4877,1950.0,2.0424,0.2532,0.1876,4.80762628349039,freeman_4
8735.5,45.8603,1950.0,2.0293,0.2644,0.1989,8.08922459809507,freeman_4
8736.0,46.1321,1950.0,2.0121,0.2599,0.2137,15.991003302059774,freeman_4
8736.5,47.5896,1950.0,2.0044,0.2591,0.2203,21.670144535250262,freeman_4
8737.0,47.2164,1950.0,2.016,0.2532,0.2103,13.673600157080482,freeman_4
8737.5,47.3104,1721.291,2.0399,0.2526,0.1897,5.295735387057621,freeman_4
8738.0,45.1454,951.9969,2.0553,0.253,0.1765,2.8837266198906355,freeman_4
8738.5,42.0439,356.1801,2.0584,0.2365,0.1738,2.546594371460832,freeman_4
8739.0,39.6934,135.319,2.0579,0.2399,0.1742,2.593934062238385,freeman_4
8739.5,43.7304,64.5164,2.0564,0.2489,0.1755,2.7539509018211805,freeman_4
8740.0,43.4932,39.8903,2.0491,0.2698,0.1818,3.680805933454919,freeman_4
8740.5,44.5939,32.7736,2.0411,0.2853,0.1887,5.0574125662254215,freeman_4
8741.0,42.1978,35.1674,2.0424,0.2818,0.1876,4.80762628349039,freeman_4
8741.5,45.2385,48.7304,2.054,0.2918,0.1776,3.0335542708626204,freeman_4
8742.0,44.2295,66.9086,2.0588,0.31,0.1734,2.500118637233104,freeman_4
8742.5,46.8815,65.417,2.0455,0.3329,0.1849,4.245573747933186,freeman_4
8743.0,50.8054,38.3159,2.0165,0.3397,0.2099,13.42405487654488,freeman_4
8743.5,57.0355,18.4849,1.9953,0.3606,0.2282,31.177778272667915,freeman_4
8744.0,59.8191,10.0169,2.0017,0.4029,0.2227,24.20230622399264,freeman_4
8744.5,65.8081,7.3818,2.0312,0.4397,0.1972,7.480152902278911,freeman_4
8745.0,64.182,5.6562,2.0603,0.4379,0.1722,2.3657189339958524,freeman_4
8745.5,69.9311,3.4491,2.0884,0.4169,0.1479,0.7727061011153377,freeman_4
9630.0,71.0743,2.6906,2.2542,0.2743,0.005,0.0010722977757595,freeman_4
9630.5,72.0607,3.1344,2.2903,0.2745,-0.0261,0.0002560831050582,freeman_4
9658.0,65.2607,4.0408,2.2806,0.2277,-0.0178,0.0003752869307561,freeman_4
9658.5,58.1857,7.1303,2.1878,0.2068,0.0622,0.0149346447101859,freeman_4
9659.0,49.2637,14.4579,2.1254,0.213,0.116,0.1778613354070035,freeman_4
9659.5,50.0826,30.2832,2.11,0.2236,0.1293,0.3281357343367851,freeman_4
9660.0,48.5549,37.2492,2.1268,0.2194,0.1148,0.1682999848614397,freeman_4
9660.5,48.4377,25.2317,2.1428,0.2135,0.101,0.0891483174632122,freeman_4
9661.0,44.6939,15.0997,2.1552,0.2014,0.0903,0.0544672807465991,freeman_4
9661.5,44.1778,11.3314,2.1686,0.2197,0.0788,0.0320745020105403,freeman_4
9662.0,46.6573,10.4397,2.1744,0.2363,0.0738,0.0254783005456221,freeman_4
9662.5,43.8187,11.1294,2.1658,0.2487,0.0812,0.035822415414831,freeman_4
9663.0,40.3532,12.3509,2.1518,0.2346,0.0933,0.0625358955283349,freeman_4
9663.5,38.5291,10.9601,2.1435,0.2317,0.1004,0.086719030726997,freeman_4
9664.0,40.8614,7.9659,2.1398,0.2343,0.1036,0.1004864892317084,freeman_4
9664.5,40.8484,5.9292,2.1369,0.246,0.1061,0.1127463279528791,freeman_4
9665.0,39.9365,4.719,2.1402,0.2549,0.1033,0.0991079071475257,freeman_4
9665.5,40.9057,3.8385,2.1478,0.2638,0.0967,0.073134485461244,freeman_4
