DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2362.352,12.402,39.032,0.933,0.998,2.238,0.598,137.507,
2362.505,12.403,39.032,0.933,0.998,2.238,0.598,137.507,
2362.657,12.403,41.94,0.933,0.998,2.238,0.595,137.507,
2362.81,12.403,41.675,0.933,0.998,2.238,0.618,137.507,
2362.962,12.404,40.509,0.933,0.998,2.238,0.62,137.507,
2363.115,12.404,38.479,0.933,0.998,2.238,0.62,137.507,
2363.267,12.406,36.389,0.933,0.998,2.238,0.602,137.507,
2363.419,12.41,33.253,0.933,0.998,2.238,0.585,137.507,
2363.572,12.414,33.919,0.933,0.998,2.238,0.602,137.507,
2363.724,12.415,39.228,0.933,0.998,2.238,0.575,137.507,
2363.876,12.415,41.66,0.933,0.998,2.238,0.594,137.507,
2364.029,12.412,39.292,0.933,0.998,2.238,0.559,137.507,
2364.181,12.415,35.628,0.933,0.998,2.238,0.57,137.507,
2364.333,12.425,37.367,0.933,0.998,2.238,0.563,137.507,
2364.486,12.427,38.597,0.933,0.998,2.238,0.579,137.507,
2364.638,12.418,41.03,0.933,0.998,2.238,0.572,137.507,
2364.791,12.414,41.016,0.933,0.998,2.238,0.632,137.507,
2364.943,12.413,41.396,0.933,0.998,2.238,0.601,137.507,
2365.096,12.416,38.352,0.933,0.998,2.238,0.616,137.507,
2365.248,12.423,37.921,0.933,0.998,2.238,0.62,137.507,
2365.4,12.424,38.936,0.933,0.998,2.238,0.657,137.507,
2365.553,12.414,41.55,0.933,0.998,2.238,0.621,137.507,
2365.705,12.404,42.41,0.933,0.998,2.238,0.578,137.507,
2365.858,12.399,43.152,0.933,0.998,2.238,0.595,137.507,
2366.01,12.4,41.994,0.933,0.998,2.238,0.622,137.507,
2366.162,12.402,40.799,0.933,0.998,2.238,0.627,137.507,
2366.315,12.4,38.811,0.933,0.998,2.238,0.582,137.507,
2366.467,12.397,40.665,0.933,0.998,2.238,0.597,137.507,
2366.62,12.397,42.857,0.933,0.998,2.238,0.609,137.507,
2366.772,12.401,43.983,0.933,0.998,2.238,0.604,137.507,
2366.924,12.411,41.877,0.933,0.998,2.238,0.586,137.507,
2367.077,12.417,39.309,0.933,0.998,2.238,0.545,137.507,
2367.229,12.412,38.973,0.933,0.998,2.238,0.578,137.507,
2367.382,12.408,39.183,0.933,0.998,2.238,0.565,137.507,
2367.534,12.398,41.41,0.933,0.998,2.238,0.559,137.507,
2367.686,12.39,42.556,0.933,0.998,2.238,0.545,137.507,
2367.839,12.389,43.326,0.933,0.998,2.238,0.593,137.507,
2367.991,12.385,43.72,0.933,0.998,2.238,0.614,137.507,
2368.144,12.385,44.219,0.933,0.998,2.238,0.609,137.507,
2368.296,12.396,44.05,0.933,0.998,2.238,0.624,137.507,
2368.448,12.412,43.915,0.933,0.998,2.238,0.601,137.507,
2368.601,12.423,44.647,0.933,0.998,2.238,0.589,137.507,
2368.753,12.426,44.968,0.933,0.998,2.238,0.53,137.507,
2368.906,12.424,45.854,0.933,0.998,2.238,0.564,137.507,
2369.058,12.426,44.8,0.933,0.998,2.238,0.593,137.507,
2369.21,12.423,45.941,0.933,0.998,2.238,0.617,137.507,
2369.363,12.42,43.15,0.933,0.998,2.238,0.58,137.507,
2369.515,12.454,38.922,0.933,0.998,2.238,0.555,137.507,
2369.667,12.548,37.811,0.933,0.998,2.238,0.552,137.507,
2369.82,12.595,36.45,0.933,0.998,2.238,0.562,137.507,
2369.972,12.6,40.365,0.933,0.998,2.238,0.565,137.507,
2370.125,12.598,41.304,0.933,0.998,2.238,0.543,137.507,
2370.277,12.594,46.135,0.933,0.998,2.238,0.567,137.507,
2370.43,12.594,48.306,0.933,0.998,2.238,0.531,137.507,
2370.582,12.595,50.451,0.933,0.998,2.238,0.508,137.507,
2370.734,12.597,48.884,0.933,0.998,2.238,0.458,137.507,
2370.887,12.602,48.488,0.933,0.998,2.238,0.502,137.507,
2371.039,12.616,45.42,0.933,0.998,2.238,0.507,137.507,
2371.192,12.631,44.343,0.933,0.998,2.238,0.522,137.507,
2371.344,12.64,43.418,0.933,0.998,2.238,0.471,137.507,
2371.496,12.65,44.917,0.933,0.998,2.238,0.498,137.507,
2371.649,12.645,47.551,0.933,0.998,2.238,0.523,137.507,
2371.801,12.628,46.423,0.933,0.998,2.238,0.561,137.507,
2371.954,12.608,48.514,0.933,0.998,2.238,0.549,137.507,
2372.106,12.594,46.66,0.933,0.998,2.238,0.512,137.507,
2372.258,12.602,47.766,0.933,0.998,2.238,0.496,137.507,
2372.411,12.61,46.136,0.933,0.998,2.238,0.542,137.507,
2372.563,12.616,45.292,0.933,0.998,2.238,0.608,137.507,
2372.716,12.623,48.118,0.933,0.998,2.238,0.64,137.507,
2372.868,12.623,49.724,0.933,0.998,2.238,0.601,137.507,
2373.021,12.623,51.436,0.933,0.998,2.238,0.529,137.507,
2373.173,12.642,46.82,0.933,0.998,2.238,0.515,137.507,
2373.325,12.709,44.605,0.933,0.998,2.238,0.502,137.507,
2373.478,12.868,45.118,0.933,0.998,2.238,0.583,137.507,
2373.63,13.041,51.786,0.933,0.998,2.238,0.567,137.507,
2373.782,13.169,66.278,0.933,0.998,2.238,0.587,137.507,
2373.935,13.523,76.583,0.933,0.998,2.238,0.509,137.507,
2374.087,14.399,83.849,0.933,0.998,2.238,0.488,137.507,
2374.24,13.979,74.908,0.933,0.998,2.238,0.475,137.507,
2374.392,13.684,77.342,0.933,0.998,2.238,0.477,137.507,
2374.544,15.146,83.784,0.933,0.998,2.238,0.51,137.507,
2374.697,17.048,91.426,0.933,0.998,2.238,0.515,137.507,
2374.849,17.841,93.834,0.933,0.998,2.238,0.545,137.507,
2375.002,17.347,92.245,0.933,0.998,2.238,0.514,137.507,
2375.154,17.214,91.822,0.933,0.998,2.238,0.5,137.507,
2375.306,17.301,90.449,0.933,0.998,2.238,0.482,137.507,
2375.459,17.254,89.191,0.933,0.998,2.238,0.497,137.507,
2375.611,17.189,89.79,0.933,0.998,2.238,0.52,137.507,
2375.764,17.259,85.095,0.933,0.998,2.238,0.509,137.507,
2375.916,17.576,87.92,0.933,0.998,2.238,0.502,137.507,
2376.068,17.732,90.106,0.933,0.998,2.238,0.462,137.507,
2376.221,17.334,92.834,0.933,0.998,2.238,0.513,137.507,
2376.373,17.143,93.272,0.933,0.998,2.238,0.488,137.507,
2376.526,17.115,94.075,0.933,0.998,2.238,0.536,137.507,
2376.678,16.962,94.188,0.933,0.998,2.238,0.505,137.507,
2376.83,16.953,89.819,0.933,0.998,2.238,0.477,137.507,
2376.983,17.061,79.018,0.933,0.998,2.238,0.41,137.507,
2377.135,16.956,75.928,0.933,0.998,2.238,0.367,137.507,
2377.288,16.854,76.011,0.933,0.998,2.238,0.414,137.507,
2377.44,16.83,91.832,0.933,0.998,2.238,0.485,137.507,
2377.592,16.757,90.797,0.933,0.998,2.238,0.49,137.507,
2377.745,16.55,91.649,0.933,0.998,2.238,0.509,137.507,
2377.897,16.646,85.106,0.933,0.998,2.238,0.479,137.507,
2378.05,16.901,83.666,0.933,0.998,2.238,0.49,137.507,
2378.202,17.219,88.385,0.933,0.998,2.238,0.49,137.507,
2378.354,17.544,92.047,0.933,0.998,2.238,0.466,137.507,
2378.507,17.597,102.037,0.933,0.998,2.238,0.511,137.507,
2378.659,17.328,100.507,0.933,0.998,2.238,0.5,137.507,
2378.812,17.01,97.777,0.933,0.998,2.238,0.543,137.507,
2378.964,16.913,96.504,0.933,0.998,2.238,0.486,137.507,
2379.116,16.872,97.026,0.933,0.998,2.238,0.477,137.507,
2379.269,17.09,98.373,0.933,0.998,2.238,0.407,137.507,
2379.421,17.465,98.046,0.933,0.998,2.238,0.423,137.507,
2379.573,17.744,94.923,0.933,0.998,2.238,0.447,137.507,
2379.726,18.372,93.948,0.933,0.998,2.238,0.491,137.507,
2379.878,18.902,93.013,0.933,0.998,2.238,0.484,137.507,
